qlen,time,type
20,16866.7,Passage-100:50
20,44080.6,Passage-100:50
6,876.083,Passage-100:50
8,3427.58,Passage-100:50
3,3835.27,Passage-100:50
20,7481.64,Passage-100:50
17,14589.6,Passage-100:50
5,3728.74,Passage-100:50
4,639.724,Passage-100:50
6,14406.2,Passage-100:50
23,36883.5,Passage-100:50
19,26688.7,Passage-100:50
9,537.924,Passage-100:50
10,15986.4,Passage-100:50
22,32614.2,Passage-100:50
12,2003.95,Passage-100:50
9,6791.48,Passage-100:50
5,141.524,Passage-100:50
4,3246.14,Passage-100:50
12,10950,Passage-100:50
11,2644.52,Passage-100:50
31,45767.8,Passage-100:50
3,1290.88,Passage-100:50
19,33015.5,Passage-100:50
9,2519.46,Passage-100:50
8,12529.5,Passage-100:50
5,3532.47,Passage-100:50
27,23233.4,Passage-100:50
13,23030.7,Passage-100:50
3,905.294,Passage-100:50
2,271.215,Passage-100:50
2,245.985,Passage-100:50
7,904.825,Passage-100:50
12,13917.2,Passage-100:50
12,5933.01,Passage-100:50
7,6387.53,Passage-100:50
8,1600.3,Passage-100:50
14,8846.64,Passage-100:50
15,25393.6,Passage-100:50
7,3204.13,Passage-100:50
10,4199.72,Passage-100:50
2,1306.09,Passage-100:50
14,12196.7,Passage-100:50
6,7145.57,Passage-100:50
7,5602.84,Passage-100:50
11,4876.82,Passage-100:50
6,2944.95,Passage-100:50
8,4037.45,Passage-100:50
5,2574.38,Passage-100:50
27,58355.5,Passage-100:50
8,1477.9,Passage-100:50
10,5059.84,Passage-100:50
10,2314.48,Passage-100:50
24,43880.9,Passage-100:50
29,93882.5,Passage-100:50
6,121.624,Passage-100:50
6,6174.08,Passage-100:50
12,23347.5,Passage-100:50
11,13155,Passage-100:50
26,86940.5,Passage-100:50
15,12741.5,Passage-100:50
4,3609.72,Passage-100:50
12,5772.08,Passage-100:50
13,3135.7,Passage-100:50
14,8406.16,Passage-100:50
10,12709.1,Passage-100:50
12,9627.55,Passage-100:50
10,5167.44,Passage-100:50
12,19912.2,Passage-100:50
17,15235.4,Passage-100:50
25,19314.3,Passage-100:50
19,12926.2,Passage-100:50
6,337.253,Passage-100:50
5,453.749,Passage-100:50
15,27158.7,Passage-100:50
4,35.626,Passage-100:50
9,3481.16,Passage-100:50
8,5818.77,Passage-100:50
14,17375.6,Passage-100:50
22,22344.3,Passage-100:50
3,864.791,Passage-100:50
9,8789.48,Passage-100:50
15,11920,Passage-100:50
19,18908.4,Passage-100:50
6,4484.3,Passage-100:50
9,13988.6,Passage-100:50
6,4267.06,Passage-100:50
5,5.651,Passage-100:50
4,2047.66,Passage-100:50
4,3788.18,Passage-100:50
3,1503.14,Passage-100:50
20,18784.4,Passage-100:50
3,2491.45,Passage-100:50
13,15615,Passage-100:50
11,17037.7,Passage-100:50
11,6729.94,Passage-100:50
11,4719.65,Passage-100:50
11,3402.79,Passage-100:50
23,50026.6,Passage-100:50
1,1160.72,Passage-100:50
8,950.384,Passage-100:50
24,70267.6,Passage-100:50
12,23802.3,Passage-100:50
1,1159.97,Passage-100:50
7,119.814,Passage-100:50
13,37576.7,Passage-100:50
19,3923.68,Passage-100:50
5,1905.91,Passage-100:50
3,140.124,Passage-100:50
3,780.781,Passage-100:50
2,1081.93,Passage-100:50
4,438.799,Passage-100:50
4,6.604,Passage-100:50
7,4324.62,Passage-100:50
3,317.66,Passage-100:50
20,20988.4,Passage-100:50
5,209.716,Passage-100:50
11,10365.7,Passage-100:50
8,2237.93,Passage-100:50
24,42102.1,Passage-100:50
9,6666.85,Passage-100:50
6,4625.09,Passage-100:50
5,331.736,Passage-100:50
8,3393.33,Passage-100:50
8,8773.08,Passage-100:50
31,32228.5,Passage-100:50
2,1586.52,Passage-100:50
15,16251.7,Passage-100:50
6,1055.8,Passage-100:50
5,1536.21,Passage-100:50
9,6250.13,Passage-100:50
10,3966.5,Passage-100:50
7,540.987,Passage-100:50
13,26697.3,Passage-100:50
4,3361.95,Passage-100:50
11,13391.3,Passage-100:50
6,2364.03,Passage-100:50
13,10581.2,Passage-100:50
10,22185.6,Passage-100:50
8,8691.33,Passage-100:50
14,5030.17,Passage-100:50
7,4069.07,Passage-100:50
28,72795.4,Passage-100:50
1,113.497,Passage-100:50
15,1420.84,Passage-100:50
10,3891.93,Passage-100:50
6,451.339,Passage-100:50
9,1331.97,Passage-100:50
12,15226.4,Passage-100:50
4,89.893,Passage-100:50
15,9771.86,Passage-100:50
4,923.867,Passage-100:50
25,22303.8,Passage-100:50
10,3296.35,Passage-100:50
7,1649.44,Passage-100:50
4,1021.82,Passage-100:50
24,65638.2,Passage-100:50
6,4571.61,Passage-100:50
8,2254.26,Passage-100:50
9,6556.96,Passage-100:50
3,2314.91,Passage-100:50
10,10131.4,Passage-100:50
11,12329.2,Passage-100:50
8,12571.4,Passage-100:50
7,7200.76,Passage-100:50
3,70.318,Passage-100:50
6,1492.5,Passage-100:50
4,1196.51,Passage-100:50
4,1103.15,Passage-100:50
9,1530.7,Passage-100:50
1,821.763,Passage-100:50
7,2419.93,Passage-100:50
11,8748.24,Passage-100:50
10,9703.93,Passage-100:50
3,3889.19,Passage-100:50
2,323.062,Passage-100:50
11,3448.23,Passage-100:50
7,4647.44,Passage-100:50
6,4362.74,Passage-100:50
6,3682.35,Passage-100:50
27,15664.3,Passage-100:50
15,7537.82,Passage-100:50
28,72584,Passage-100:50
8,4098.53,Passage-100:50
7,1997.26,Passage-100:50
8,7418.6,Passage-100:50
2,42.815,Passage-100:50
6,824.726,Passage-100:50
4,1.371,Passage-100:50
4,1093.86,Passage-100:50
6,2005.87,Passage-100:50
1,102.584,Passage-100:50
7,10084.8,Passage-100:50
7,4092.47,Passage-100:50
2,39.836,Passage-100:50
6,8377.18,Passage-100:50
20,13221.9,Passage-100:50
9,5934.1,Passage-100:50
9,3406.06,Passage-100:50
26,49058.5,Passage-100:50
9,8368.1,Passage-100:50
6,813.387,Passage-100:50
15,14235.2,Passage-100:50
27,58865,Passage-100:50
19,1371.64,Passage-100:50
23,56845.5,Passage-100:50
4,312.201,Passage-100:50
2,346.146,Passage-100:50
9,10436.8,Passage-100:50
4,1.15,Passage-100:50
3,1557.38,Passage-100:50
4,755.961,Passage-100:50
28,15965.8,Passage-100:50
2,1727.49,Passage-100:50
16,31637.4,Passage-100:50
21,17485.2,Passage-100:50
23,18216,Passage-100:50
11,11427.9,Passage-100:50
4,1936.91,Passage-100:50
5,1257.39,Passage-100:50
25,10527.4,Passage-100:50
6,363.603,Passage-100:50
10,6746.47,Passage-100:50
7,1527.57,Passage-100:50
1,13.388,Passage-100:50
15,18705.3,Passage-100:50
16,14334.3,Passage-100:50
13,12942.5,Passage-100:50
8,8084.77,Passage-100:50
23,62005.2,Passage-100:50
4,112.797,Passage-100:50
6,429.7,Passage-100:50
6,1170.78,Passage-100:50
1,79.035,Passage-100:50
3,1386.95,Passage-100:50
9,11954.5,Passage-100:50
9,8297.17,Passage-100:50
10,11746.1,Passage-100:50
13,15485.2,Passage-100:50
14,16549.7,Passage-100:50
13,8533.12,Passage-100:50
3,132.089,Passage-100:50
10,11926.9,Passage-100:50
13,13282,Passage-100:50
17,20438.3,Passage-100:50
3,211.545,Passage-100:50
4,2232.47,Passage-100:50
25,35781.6,Passage-100:50
17,31941.1,Passage-100:50
21,15033.5,Passage-100:50
12,13182.2,Passage-100:50
23,65594.9,Passage-100:50
12,11454.2,Passage-100:50
25,52603.4,Passage-100:50
5,5059.28,Passage-100:50
1,825.126,Passage-100:50
4,389.677,Passage-100:50
7,124.94,Passage-100:50
11,13352.6,Passage-100:50
6,2153.11,Passage-100:50
3,702.734,Passage-100:50
5,727.339,Passage-100:50
5,403.656,Passage-100:50
19,15126.7,Passage-100:50
14,15539.8,Passage-100:50
23,48166.6,Passage-100:50
19,33387.7,Passage-100:50
6,164.001,Passage-100:50
13,24645.1,Passage-100:50
13,34757.2,Passage-100:50
12,6630.9,Passage-100:50
9,6055.11,Passage-100:50
7,4645.07,Passage-100:50
7,912.825,Passage-100:50
12,15206.9,Passage-100:50
10,9335.15,Passage-100:50
7,3040.72,Passage-100:50
2,1925.11,Passage-100:50
16,4235.69,Passage-100:50
16,44986.3,Passage-100:50
6,50.519,Passage-100:50
12,13341.5,Passage-100:50
3,246.479,Passage-100:50
11,13419.4,Passage-100:50
9,9913.9,Passage-100:50
1,232.504,Passage-100:50
4,2405.04,Passage-100:50
6,13269,Passage-100:50
5,1574.99,Passage-100:50
21,30669.7,Passage-100:50
17,14504.3,Passage-100:50
8,3383.46,Passage-100:50
3,53.509,Passage-100:50
9,4631.03,Passage-100:50
2,130.465,Passage-100:50
3,77.8,Passage-100:50
6,2135.81,Passage-100:50
9,2543.96,Passage-100:50
1,27.03,Passage-100:50
29,41973.7,Passage-100:50
23,33957.1,Passage-100:50
18,29021.7,Passage-100:50
8,397.36,Passage-100:50
7,3079.48,Passage-100:50
11,5975.37,Passage-100:50
4,3552.67,Passage-100:50
4,1050.74,Passage-100:50
7,3843.33,Passage-100:50
10,5545.89,Passage-100:50
10,1971.66,Passage-100:50
10,11824.6,Passage-100:50
23,35761.6,Passage-100:50
7,6702.59,Passage-100:50
16,16632,Passage-100:50
10,808.259,Passage-100:50
5,10120.6,Passage-100:50
2,597.652,Passage-100:50
7,3818.75,Passage-100:50
3,35.757,Passage-100:50
15,23027.3,Passage-100:50
25,74742.4,Passage-100:50
4,138.181,Passage-100:50
6,1318.09,Passage-100:50
3,908.415,Passage-100:50
1,828.508,Passage-100:50
8,13724.4,Passage-100:50
11,10021.5,Passage-100:50
9,4863.94,Passage-100:50
11,3536.17,Passage-100:50
5,637.009,Passage-100:50
4,770.376,Passage-100:50
8,7944.72,Passage-100:50
4,2936.64,Passage-100:50
5,398.374,Passage-100:50
13,16202.1,Passage-100:50
19,20195.3,Passage-100:50
2,209.734,Passage-100:50
11,8418.16,Passage-100:50
6,4240.37,Passage-100:50
13,8662.76,Passage-100:50
8,9233.23,Passage-100:50
13,11715.8,Passage-100:50
6,1334.63,Passage-100:50
5,747.452,Passage-100:50
4,1021.61,Passage-100:50
10,14985.2,Passage-100:50
10,7274.27,Passage-100:50
5,1920.07,Passage-100:50
2,37.852,Passage-100:50
15,17587.1,Passage-100:50
19,43817.3,Passage-100:50
5,907.401,Passage-100:50
5,1757.03,Passage-100:50
15,21818.4,Passage-100:50
17,12155.3,Passage-100:50
13,7448.83,Passage-100:50
6,1516.34,Passage-100:50
3,81.346,Passage-100:50
6,960.79,Passage-100:50
8,13821.7,Passage-100:50
13,5589.13,Passage-100:50
13,22102.5,Passage-100:50
1,380.154,Passage-100:50
13,9925.07,Passage-100:50
2,1687.3,Passage-100:50
9,26224.6,Passage-100:50
5,5501.81,Passage-100:50
8,6980.91,Passage-100:50
9,1547.47,Passage-100:50
12,11632.2,Passage-100:50
19,4874.28,Passage-100:50
12,22512.2,Passage-100:50
4,3800.35,Passage-100:50
15,18543.6,Passage-100:50
9,3743.45,Passage-100:50
10,3542.53,Passage-100:50
6,585.724,Passage-100:50
14,34014.1,Passage-100:50
3,509.868,Passage-100:50
25,35176.3,Passage-100:50
6,1152.4,Passage-100:50
11,5938.65,Passage-100:50
15,14502,Passage-100:50
7,4943.77,Passage-100:50
7,1113.5,Passage-100:50
8,2418.35,Passage-100:50
9,1711.12,Passage-100:50
23,22754.7,Passage-100:50
24,35487.7,Passage-100:50
12,20376.4,Passage-100:50
5,4142.19,Passage-100:50
10,4036.95,Passage-100:50
4,597.6,Passage-100:50
4,921.831,Passage-100:50
3,46.956,Passage-100:50
3,420.585,Passage-100:50
24,68562.7,Passage-100:50
3,2383.19,Passage-100:50
16,14364.5,Passage-100:50
12,3999.01,Passage-100:50
16,13980.3,Passage-100:50
2,246.409,Passage-100:50
16,29916.1,Passage-100:50
6,4714.02,Passage-100:50
5,3993.56,Passage-100:50
5,1935.56,Passage-100:50
6,434.467,Passage-100:50
8,1991.94,Passage-100:50
10,8390.57,Passage-100:50
13,14216.2,Passage-100:50
14,7343.83,Passage-100:50
12,10724,Passage-100:50
3,1842.46,Passage-100:50
15,24910.2,Passage-100:50
9,4617.7,Passage-100:50
8,12364.1,Passage-100:50
22,26903.4,Passage-100:50
31,30642.8,Passage-100:50
13,30852,Passage-100:50
14,29333.9,Passage-100:50
18,27524.1,Passage-100:50
2,965.343,Passage-100:50
2,1538.49,Passage-100:50
3,230.751,Passage-100:50
12,11667.6,Passage-100:50
10,1490.87,Passage-100:50
22,44029.9,Passage-100:50
21,31361.8,Passage-100:50
14,19789.7,Passage-100:50
23,26420.7,Passage-100:50
9,13926.5,Passage-100:50
8,7467.21,Passage-100:50
8,613.798,Passage-100:50
8,1620.08,Passage-100:50
1,288.438,Passage-100:50
8,5297.56,Passage-100:50
9,6068.92,Passage-100:50
6,1958.27,Passage-100:50
12,33096.9,Passage-100:50
12,4545.9,Passage-100:50
6,3808.43,Passage-100:50
8,3507.2,Passage-100:50
9,3171.25,Passage-100:50
15,12627,Passage-100:50
5,481.201,Passage-100:50
26,20496.3,Passage-100:50
11,6770.96,Passage-100:50
8,18097.7,Passage-100:50
7,3269.6,Passage-100:50
16,9683.24,Passage-100:50
18,26138.4,Passage-100:50
27,44996.8,Passage-100:50
9,8148.76,Passage-100:50
12,17104.8,Passage-100:50
8,1977.88,Passage-100:50
7,4251.79,Passage-100:50
26,50934.5,Passage-100:50
9,2471.54,Passage-100:50
12,25073.4,Passage-100:50
3,114.545,Passage-100:50
4,694.702,Passage-100:50
9,15012.1,Passage-100:50
16,10456.2,Passage-100:50
10,2756.39,Passage-100:50
4,5970.9,Passage-100:50
12,3393.94,Passage-100:50
1,708.418,Passage-100:50
8,2571.56,Passage-100:50
6,1156.07,Passage-100:50
5,228.65,Passage-100:50
9,13872.5,Passage-100:50
16,14026.9,Passage-100:50
4,1615.46,Passage-100:50
3,33.82,Passage-100:50
1,89.355,Passage-100:50
10,2068.88,Passage-100:50
13,8171.03,Passage-100:50
12,8868.23,Passage-100:50
19,5600.18,Passage-100:50
22,6843.17,Passage-100:50
8,1089.2,Passage-100:50
2,913.928,Passage-100:50
7,10048.7,Passage-100:50
3,521.749,Passage-100:50
12,17962.4,Passage-100:50
8,9884,Passage-100:50
10,12517.5,Passage-100:50
14,10620.5,Passage-100:50
4,1441.6,Passage-100:50
28,30736.1,Passage-100:50
13,8401.22,Passage-100:50
17,19313.4,Passage-100:50
7,6194.77,Passage-100:50
11,18695,Passage-100:50
18,50822.7,Passage-100:50
22,40279.1,Passage-100:50
24,40301.3,Passage-100:50
4,678.186,Passage-100:50
12,2332,Passage-100:50
5,9762.82,Passage-100:50
3,37.547,Passage-100:50
6,1032.34,Passage-100:50
2,1612.35,Passage-100:50
26,38240.8,Passage-100:50
8,5899.73,Passage-100:50
9,2611.07,Passage-100:50
6,7944.02,Passage-100:50
6,5389.37,Passage-100:50
4,546.99,Passage-100:50
4,91.402,Passage-100:50
3,2366,Passage-100:50
19,33464.8,Passage-100:50
16,5108.99,Passage-100:50
18,27618.9,Passage-100:50
9,1364.28,Passage-100:50
7,302.116,Passage-100:50
4,248.361,Passage-100:50
5,1747.21,Passage-100:50
18,35084.7,Passage-100:50
3,1251.89,Passage-100:50
5,481.929,Passage-100:50
7,2691.64,Passage-100:50
13,20408.8,Passage-100:50
9,548.633,Passage-100:50
4,969.296,Passage-100:50
15,20840.5,Passage-100:50
11,5446.97,Passage-100:50
4,426.747,Passage-100:50
16,12715.9,Passage-100:50
17,13739.1,Passage-100:50
6,2748.32,Passage-100:50
9,15892.4,Passage-100:50
18,24033.8,Passage-100:50
4,1999.68,Passage-100:50
8,5637.27,Passage-100:50
4,871.089,Passage-100:50
20,43662.8,Passage-100:50
2,1535.83,Passage-100:50
17,5910.35,Passage-100:50
2,251.469,Passage-100:50
6,665.394,Passage-100:50
8,3690.8,Passage-100:50
8,18445.3,Passage-100:50
7,1600.23,Passage-100:50
